Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.014,0.013,0.038,0.035,0.032,0.039,0.039,0.039,0.048,0.044,0.048
Millions of Metric tons of CO2,CO2 emissions,0.006,0.006,0.009,0.009,0.009,0.009,0.008,0.008,0.006,0.011,0.012
Millions of Metric tons of CO2,CO2 emissions,0.012,0.014,0.017,0.019,0.018,0.02,0.019,0.023,0.024,0.008,0.009
Millions of Metric tons of CO2,CO2 emissions,0.084,0.084,0.085,0.082,0.085,0.079,0.083,0.1,0.097,0.102,0.107
Millions of Metric tons of CO2,CO2 emissions,0.032,0.037,0.042,0.039,0.04,0.038,0.038,0.043,0.044,0.054,0.054
Millions of Metric tons of CO2,CO2 emissions,0.014,0.015,0.016,0.016,0.016,0.018,0.018,0.022,0.022,0.031,0.042
Millions of Metric tons of CO2,CO2 emissions,0.031,0.03,0.032,0.029,0.028,0.026,0.026,0.035,0.034,0.023,0.022
Millions of Metric tons of CO2,CO2 emissions,0.081,0.067,0.059,0.07,0.059,0.051,0.046,0.042,0.038,0.038,0.036
Millions of Metric tons of CO2,CO2 emissions,0.013,0.013,0.015,0.015,0.014,0.013,0.015,0.017,0.021,0.019,0.021
Millions of Metric tons of CO2,CO2 emissions,0.088,0.078,0.056,0.053,0.053,0.049,0.049,0.049,0.052,0.048,0.05
Millions of Metric tons of CO2,CO2 emissions,0.047,0.044,0.05,0.048,0.048,0.043,0.047,0.044,0.043,0.098,0.106
Millions of Metric tons of CO2,CO2 emissions,0.018,0.018,0.019,0.019,0.019,0.02,0.023,0.025,0.027,0.029,0.03
Millions of Metric tons of CO2,CO2 emissions,0.628,0.645,0.569,0.517,0.432,0.467,0.474,0.575,0.586,0.546,0.526
Millions of Metric tons of CO2,CO2 emissions,0.281,0.263,0.281,0.284,0.276,0.286,0.251,0.205,0.176,0.259,0.255
Millions of Metric tons of CO2,CO2 emissions,0.019,0.019,0.016,0.02,0.017,0.02,0.02,0.023,0.023,0.02,0.02
Millions of Metric tons of CO2,CO2 emissions,0.051,0.052,0.057,0.052,0.047,0.05,0.045,0.054,0.061,0.068,0.068
Millions of Metric tons of CO2,CO2 emissions,0.05,0.05,0.057,0.054,0.048,0.045,0.04,0.041,0.057,0.073,0.075
Millions of Metric tons of CO2,CO2 emissions,0.842,0.835,0.836,0.831,0.758,0.701,0.68,0.651,0.677,0.689,0.703
Millions of Metric tons of CO2,CO2 emissions,0.244,0.229,0.222,0.221,0.22,0.235,0.225,0.229,0.221,0.228,0.228
Millions of Metric tons of CO2,CO2 emissions,0.04,0.037,0.042,0.037,0.03,0.029,0.025,0.025,0.036,0.045,0.045
Millions of Metric tons of CO2,CO2 emissions,0.101,0.067,0.081,0.073,0.047,0.058,0.052,0.041,0.018,0.031,0.058
Millions of Metric tons of CO2,CO2 emissions,0.317,0.269,0.249,0.23,0.144,0.132,0.125,0.13,0.123,0.138,0.126
Millions of Metric tons of CO2,CO2 emissions,1.261,1.588,1.421,1.531,1.48,1.008,1.124,1.061,0.901,0.941,0.868
Millions of Metric tons of CO2,CO2 emissions,0.011,0.012,0.011,0.011,0.009,0.007,0.009,0.008,0.008,0.009,0.007
Millions of Metric tons of CO2,CO2 emissions,1.02,0.831,0.661,0.604,0.543,0.488,0.41,0.378,0.785,0.953,0.981
Millions of Metric tons of CO2,CO2 emissions,0.038,0.039,0.046,0.042,0.035,0.035,0.031,0.035,0.039,0.042,0.042
Millions of Metric tons of CO2,CO2 emissions,0.022,0.023,0.025,0.021,0.018,0.017,0.02,0.018,0.018,0.021,0.018
Millions of Metric tons of CO2,CO2 emissions,5.86,5.158,4.76,4.956,4.542,4.331,3.663,3.731,4.028,3.627,3.041
Millions of Metric tons of CO2,CO2 emissions,0.045,0.043,0.042,0.046,0.04,0.036,0.038,0.034,0.039,0.047,0.043
Millions of Metric tons of CO2,CO2 emissions,0.071,0.076,0.084,0.076,0.067,0.062,0.055,0.062,0.071,0.075,0.067
Millions of Metric tons of CO2,CO2 emissions,0.111,0.109,0.111,0.114,0.102,0.101,0.097,0.093,0.1,0.098,0.093
Millions of Metric tons of CO2,CO2 emissions,0.663,0.522,0.531,0.525,0.455,0.393,0.403,0.36,0.388,0.365,0.354
Millions of Metric tons of CO2,CO2 emissions,0.072,0.079,0.09,0.081,0.07,0.062,0.053,0.054,0.074,0.088,0.088
Millions of Metric tons of CO2,CO2 emissions,0.01,0.011,0.013,0.013,0.012,0.014,0.013,0.016,0.021,0.027,0.03
Millions of Metric tons of CO2,CO2 emissions,0.5,0.509,0.522,0.506,0.477,0.472,0.45,0.416,0.502,0.628,0.617
Millions of Metric tons of CO2,CO2 emissions,0.016,0.014,0.014,0.015,0.014,0.012,0.015,0.014,0.015,0.019,0.017
Millions of Metric tons of CO2,CO2 emissions,0.019,0.02,0.02,0.02,0.018,0.019,0.016,0.018,0.019,0.024,0.023
Millions of Metric tons of CO2,CO2 emissions,0.408,0.437,0.484,0.441,0.194,0.456,0.408,0.399,0.352,0.386,0.402
Millions of Metric tons of CO2,CO2 emissions,0.025,0.032,0.021,0.025,0.018,0.019,0.015,0.027,0.009,0.016,0.019
Millions of Metric tons of CO2,CO2 emissions,0.022,0.023,0.02,0.013,0.013,0.011,0.009,0.017,0.004,0.004,0.005
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.003,0.005,0.006,0.005,0.003,0.004,0.004,0.002,0.003
Millions of Metric tons of CO2,CO2 emissions,1.641,1.29,1.213,1.078,1.01,1.096,1.075,1.021,1,1.171,1.18
Millions of Metric tons of CO2,CO2 emissions,0.017,0.019,0.02,0.019,0.017,0.016,0.015,0.018,0.018,0.019,0.02
Millions of Metric tons of CO2,CO2 emissions,0.016,0.02,0.014,0.017,0.017,0.012,0.008,0.011,0.009,0.008,0.01
Millions of Metric tons of CO2,CO2 emissions,0.137,0.14,0.151,0.138,0.116,0.082,0.076,0.082,0.121,0.097,0.094
Millions of Metric tons of CO2,CO2 emissions,0.178,0.179,0.15,0.139,0.109,0.12,0.128,0.133,0.139,0.159,0.141
Millions of Metric tons of CO2,CO2 emissions,0.008,0.01,0.013,0.015,0.014,0.015,0.016,0.016,0.017,0.019,0.015
Millions of Metric tons of CO2,CO2 emissions,0.165,0.155,0.168,0.145,0.12,0.108,0.091,0.093,0.127,0.122,0.112
Millions of Metric tons of CO2,CO2 emissions,0.185,0.203,0.199,0.191,0.175,0.154,0.137,0.131,0.158,0.192,0.173
Millions of Metric tons of CO2,CO2 emissions,0.018,0.016,0.016,0.015,0.012,0.011,0.009,0.01,0.011,0.011,0.011
Millions of Metric tons of CO2,CO2 emissions,0.073,0.075,0.082,0.078,0.07,0.068,0.061,0.075,0.078,0.084,0.086
Millions of Metric tons of CO2,CO2 emissions,0.01,0.012,0.012,0.014,0.012,0.013,0.01,0.013,0.012,0.016,0.016
Millions of Metric tons of CO2,CO2 emissions,0.037,0.038,0.039,0.036,0.031,0.027,0.022,0.024,0.028,0.031,0.027
Millions of Metric tons of CO2,CO2 emissions,0.063,0.062,0.055,0.05,0.048,0.038,0.036,0.034,0.036,0.034,0.032
Millions of Metric tons of CO2,CO2 emissions,0.068,0.059,0.067,0.063,0.049,0.046,0.041,0.038,0.06,0.069,0.07
Millions of Metric tons of CO2,CO2 emissions,0.047,0.045,0.058,0.056,0.047,0.046,0.038,0.032,0.039,0.051,0.052
Millions of Metric tons of CO2,CO2 emissions,1.357,1.416,1.415,1.213,0.948,0.856,0.889,0.861,0.9,0.975,1.035
Millions of Metric tons of CO2,CO2 emissions,0.297,0.292,0.292,0.274,0.247,0.212,0.182,0.186,0.236,0.292,0.294
Millions of Metric tons of CO2,CO2 emissions,0.034,0.027,0.035,0.033,0.019,0.015,0.012,0.01,0.012,0.015,0.019
Millions of Metric tons of CO2,CO2 emissions,0.036,0.024,0.015,0.015,0.014,0.025,0.023,0.019,0.023,0.023,0.021
Millions of Metric tons of CO2,CO2 emissions,0.019,0.015,0.006,0.006,0.007,0.007,0.007,0.011,0.016,0.014,0.012
Millions of Metric tons of CO2,CO2 emissions,0.088,0.075,0.085,0.09,0.09,0.091,0.083,0.083,0.083,0.089,0.083
Millions of Metric tons of CO2,CO2 emissions,0.307,0.28,0.274,0.292,0.276,0.261,0.134,0.005,0.037,0.14,0.195
Millions of Metric tons of CO2,CO2 emissions,0.011,0.01,0.01,0.01,0.012,0.015,0.012,0.01,0.011,0.01,0.009
Millions of Metric tons of CO2,CO2 emissions,0,0.003,0.003,0.003,0.006,0,0,0.003,0.007,0.003,0.002
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.041,0.019,0.019,0.025,0.019,0.025,0.044,0.025,0.025,0.025,0.027
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.001,0.001,0,0,0,0,0,0,0.001
Millions of Metric tons of CO2,CO2 emissions,0.051,0.033,0.03,0.026,0.047,0.085,0.088,0.052,0.062,0.072,0.055
Millions of Metric tons of CO2,CO2 emissions,0.011,0.01,0.01,0.012,0.013,0.014,0.012,0.012,0.013,0.008,0.007
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,4.177,4.587,4.187,4.073,3.835,2.994,3.109,3.168,3.402,3.452,3.499
Millions of Metric tons of CO2,CO2 emissions,0.007,0.006,0.009,0.009,0.011,0.01,0.009,0.003,0.004,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,0.099,0.084,0.043,0.043,0.043,0.058,0.048,0.034,0.04,0.04,0.041
Millions of Metric tons of CO2,CO2 emissions,0.011,0.013,0.014,0.01,0.01,0.007,0.007,0.007,0.007,0.007,0.006
Millions of Metric tons of CO2,CO2 emissions,0.037,0.034,0.026,0.026,0.067,0.057,0.059,0.073,0.069,0.089,0.081
Millions of Metric tons of CO2,CO2 emissions,0.03,0.025,0.02,0.021,0.029,0.03,0.025,0.016,0.018,0.012,0.011
Millions of Metric tons of CO2,CO2 emissions,0.02,0.013,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.107,0.077,0.072,0.063,0.078,0.096,0.059,0.09,0.105,0.115,0.129
Millions of Metric tons of CO2,CO2 emissions,0.002,0.001,0,0,0,0.001,0.001,0,0.001,0.001,0
Millions of Metric tons of CO2,CO2 emissions,0.079,0.063,0.056,0.078,0.01,0.007,0.011,0.004,0.007,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.029,0.017,0.009,0.008,0.021,0.017,0.008,0.024,0.013,0.023,0.022
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0.002,0.001,0.001,0.001,0.001,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.834,0.691,0.582,0.417,0.373,0.476,0.606,0.516,0.504,0.498,0.438
Millions of Metric tons of CO2,CO2 emissions,0.008,0.006,0.006,0.005,0.004,0.006,0.005,0.004,0.005,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.003,0.003,0.002,0.002,0.002,0.002,0.005,0.004,0.005,0.004,0.003
Millions of Metric tons of CO2,CO2 emissions,0.007,0.006,0.009,0.009,0.013,0.017,0.017,0.007,0.007,0.007,0.008
Millions of Metric tons of CO2,CO2 emissions,0.007,0.004,0.006,0.006,0.007,0.008,0.006,0.005,0.006,0.006,0.007
Millions of Metric tons of CO2,CO2 emissions,0.036,0.03,0.024,0.025,0.023,0.026,0.019,0.016,0.02,0.016,0.015
Millions of Metric tons of CO2,CO2 emissions,0.039,0.036,0.028,0.026,0.021,0.034,0.02,0.029,0.032,0.029,0.029
Millions of Metric tons of CO2,CO2 emissions,0.011,0.008,0.017,0.012,0.011,0.017,0.012,0.007,0.01,0.008,0.007
Millions of Metric tons of CO2,CO2 emissions,0.073,0.062,0.017,0.015,0.016,0.015,0.01,0.009,0.009,0.01,0.009
Millions of Metric tons of CO2,CO2 emissions,0.066,0.056,0.054,0.083,0.009,0.006,0.009,0.005,0.007,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.005,0.005,0.006,0.007,0.004,0.004,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0,0,0,0,0,0,0.001,0.001,0
Millions of Metric tons of CO2,CO2 emissions,0.071,0.07,0.029,0.052,0.04,0.038,0.02,0.019,0.021,0.026,0.027
Millions of Metric tons of CO2,CO2 emissions,0.009,0.009,0.011,0.018,0.02,0.017,0.011,0.006,0.005,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.332,0.216,0.144,0.16,0.166,0.211,0.159,0.165,0.208,0.234,0.231
Millions of Metric tons of CO2,CO2 emissions,0.15,0.111,0.079,0.07,0.052,0.091,0.069,0.074,0.088,0.092,0.084
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.18,0.153,0.146,0.138,0.128,0.123,0.155,0.161,0.173,0.195,0.186
Millions of Metric tons of CO2,CO2 emissions,0.448,0.399,0.331,0.327,0.318,0.338,0.36,0.389,0.479,0.506,0.518
Millions of Metric tons of CO2,CO2 emissions,1.814,1.743,1.73,1.789,1.782,1.814,1.834,1.784,1.801,1.806,1.756
Millions of Metric tons of CO2,CO2 emissions,1.173,1.061,1.034,1.085,1.004,0.947,0.833,0.893,0.961,1.174,1.164
Millions of Metric tons of CO2,CO2 emissions,0.154,0.149,0.145,0.137,0.125,0.112,0.088,0.091,0.101,0.101,0.093
Millions of Metric tons of CO2,CO2 emissions,10.969,8.889,6.528,6.324,6.086,5.845,5.478,5.196,5.139,5.317,5.484
Millions of Metric tons of CO2,CO2 emissions,3.269,3.724,2.391,2.294,2.243,2.139,1.737,1.611,1.506,1.899,1.796
Millions of Metric tons of CO2,CO2 emissions,1.454,1.322,1.403,1.305,1.255,1.11,1.214,1.287,1.035,1.299,1.492
Millions of Metric tons of CO2,CO2 emissions,0.291,0.243,0.238,0.175,0.193,0.184,0.181,0.22,0.224,0.221,0.214
Millions of Metric tons of CO2,CO2 emissions,1.354,1.256,1.155,1.081,1.048,1.006,1.192,1.226,1.19,1.204,1.291
Millions of Metric tons of CO2,CO2 emissions,0.194,0.178,0.182,0.171,0.162,0.161,0.166,0.165,0.168,0.174,0.166
Millions of Metric tons of CO2,CO2 emissions,0.206,0.186,0.187,0.181,0.171,0.177,0.164,0.208,0.198,0.198,0.187
Millions of Metric tons of CO2,CO2 emissions,59.77,56.086,59.124,57.886,55.732,52.202,49.724,49.994,51.633,50.134,49.646
Millions of Metric tons of CO2,CO2 emissions,0.523,0.45,0.455,0.443,0.433,0.456,0.39,0.395,0.385,0.393,0.4
Millions of Metric tons of CO2,CO2 emissions,0.317,0.297,0.315,0.299,0.284,0.265,0.269,0.275,0.281,0.292,0.273
Millions of Metric tons of CO2,CO2 emissions,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,1.166,1.121,1.146,1.076,1.099,1.056,1.237,1.253,1.25,1.269,1.22
Millions of Metric tons of CO2,CO2 emissions,0.287,0.267,0.264,0.254,0.247,0.242,0.238,0.242,0.257,0.256,0.244
Millions of Metric tons of CO2,CO2 emissions,0.16,0.149,0.142,0.143,0.137,0.134,0.152,0.159,0.178,0.19,0.183
Millions of Metric tons of CO2,CO2 emissions,4.528,4.242,4.113,3.896,3.813,3.89,4.844,5.336,5.5,5.365,4.864
Millions of Metric tons of CO2,CO2 emissions,0.491,0.422,0.405,0.371,0.378,0.394,0.349,0.346,0.34,0.341,0.34
Millions of Metric tons of CO2,CO2 emissions,0.382,0.387,0.366,0.344,0.338,0.287,0.38,0.376,0.292,0.277,0.286
Millions of Metric tons of CO2,CO2 emissions,0.619,0.475,1.371,1.81,1.818,1.69,1.737,1.732,1.668,1.578,1.531
Millions of Metric tons of CO2,CO2 emissions,0.134,0.125,0.168,0.119,0.133,0.132,0.15,0.156,0.153,0.161,0.147
Millions of Metric tons of CO2,CO2 emissions,0.018,0.015,0.024,0.022,0.03,0.027,0.028,0.028,0.023,0.026,0.022
Millions of Metric tons of CO2,CO2 emissions,0.572,0.583,0.701,0.709,0.688,0.698,0.665,0.649,0.7,0.711,0.704
Millions of Metric tons of CO2,CO2 emissions,3.447,2.827,2.997,2.997,3.002,2.703,2.873,3.047,3.279,3.357,3.568
Millions of Metric tons of CO2,CO2 emissions,0.1,0.082,0.083,0.08,0.074,0.07,0.066,0.066,0.07,0.073,0.07
Millions of Metric tons of CO2,CO2 emissions,0.054,0.055,0.049,0.048,0.052,0.048,0.042,0.038,0.039,0.037,0.04
Millions of Metric tons of CO2,CO2 emissions,0.624,0.637,0.613,0.555,0.554,0.507,0.432,0.443,0.403,0.412,0.42
Millions of Metric tons of CO2,CO2 emissions,0.6,0.937,0.476,0.428,0.392,0.392,0.332,0.34,0.358,0.496,0.49
Millions of Metric tons of CO2,CO2 emissions,0.054,0.059,0.055,0.055,0.058,0.047,0.073,0.071,0.078,0.08,0.071
Millions of Metric tons of CO2,CO2 emissions,0.72,0.598,0.567,0.542,0.519,0.515,0.505,0.496,0.523,0.546,0.534
Millions of Metric tons of CO2,CO2 emissions,0.648,0.619,0.566,0.446,0.403,0.41,0.391,0.413,0.445,0.462,0.465
Millions of Metric tons of CO2,CO2 emissions,0.086,0.073,0.071,0.07,0.067,0.069,0.066,0.066,0.077,0.08,0.079
Millions of Metric tons of CO2,CO2 emissions,0.884,0.813,0.874,0.817,0.83,0.822,0.7,0.713,0.771,0.812,0.784
Millions of Metric tons of CO2,CO2 emissions,0.706,0.763,0.787,0.774,0.716,0.59,0.613,0.622,0.371,0.331,0.346
Millions of Metric tons of CO2,CO2 emissions,0.231,0.206,0.181,0.164,0.162,0.133,0.096,0.101,0.106,0.108,0.099
Millions of Metric tons of CO2,CO2 emissions,0.359,0.24,0.25,0.241,0.223,0.233,0.223,0.207,0.208,0.211,0.206
Millions of Metric tons of CO2,CO2 emissions,0.72,0.66,0.722,0.732,0.637,0.606,0.671,0.751,0.777,0.79,0.741
Millions of Metric tons of CO2,CO2 emissions,0.267,0.23,0.245,0.257,0.239,0.234,0.313,0.286,0.286,0.296,0.307
Millions of Metric tons of CO2,CO2 emissions,0.098,0.097,0.07,0.057,0.053,0.044,0.054,0.083,0.1,0.09,0.093
Millions of Metric tons of CO2,CO2 emissions,3.747,3.532,3.489,3.406,3.16,3.056,2.365,2.331,2.546,2.738,2.695
Millions of Metric tons of CO2,CO2 emissions,0.337,0.366,0.353,0.354,0.325,0.335,0.254,0.229,0.176,0.169,0.167
Millions of Metric tons of CO2,CO2 emissions,0.037,0.035,0.035,0.03,0.031,0.029,0.027,0.03,0.034,0.035,0.038
Millions of Metric tons of CO2,CO2 emissions,0.164,0.145,0.143,0.145,0.13,0.118,0.124,0.131,0.159,0.163,0.171
Millions of Metric tons of CO2,CO2 emissions,1.576,1.581,1.654,1.589,1.529,1.463,1.357,1.375,1.373,1.288,1.304
Millions of Metric tons of CO2,CO2 emissions,1.624,1.401,1.571,1.587,1.567,1.663,1.718,2.206,2.43,2.523,2.655
Millions of Metric tons of CO2,CO2 emissions,0.032,0.035,0.034,0.035,0.032,0.03,0.028,0.029,0.033,0.034,0.035
Millions of Metric tons of CO2,CO2 emissions,0.141,0.08,0.089,0.094,0.093,0.101,0.106,0.102,0.108,0.116,0.122
Millions of Metric tons of CO2,CO2 emissions,0.136,0.129,0.124,0.132,0.122,0.12,0.121,0.109,0.099,0.108,0.107
Millions of Metric tons of CO2,CO2 emissions,1.001,1.1,0.977,1.129,1.055,1.088,1.027,1.205,1.051,1.107,0.978
Millions of Metric tons of CO2,CO2 emissions,0.061,0.057,0.066,0.051,0.045,0.038,0.028,0.027,0.027,0.029,0.032
Millions of Metric tons of CO2,CO2 emissions,0.92,0.807,0.833,0.867,0.741,0.653,0.689,0.691,0.762,0.857,0.94
Millions of Metric tons of CO2,CO2 emissions,0.084,0.095,0.097,0.084,0.089,0.084,0.078,0.082,0.085,0.077,0.077
Millions of Metric tons of CO2,CO2 emissions,0.041,0.033,0.039,0.033,0.027,0.021,0.017,0.016,0.015,0.016,0.017
Millions of Metric tons of CO2,CO2 emissions,21.373,21.408,21.368,17.19,13.949,16.211,12.709,9.752,11.098,8.62,8.702
Millions of Metric tons of CO2,CO2 emissions,0.174,0.15,0.157,0.134,0.114,0.092,0.075,0.071,0.073,0.082,0.077
Millions of Metric tons of CO2,CO2 emissions,0.083,0.082,0.082,0.071,0.072,0.069,0.058,0.061,0.066,0.068,0.068
Millions of Metric tons of CO2,CO2 emissions,0.56,0.521,0.527,0.495,0.405,0.444,0.412,0.441,0.438,0.411,0.401
Millions of Metric tons of CO2,CO2 emissions,1.415,1.183,1.32,1.198,1.054,0.978,1.004,0.961,0.974,1.06,1.056
Millions of Metric tons of CO2,CO2 emissions,0.138,0.142,0.14,0.115,0.124,0.124,0.104,0.109,0.114,0.109,0.11
Millions of Metric tons of CO2,CO2 emissions,0.046,0.046,0.044,0.037,0.036,0.034,0.03,0.032,0.035,0.036,0.037
Millions of Metric tons of CO2,CO2 emissions,2.086,1.933,2.012,1.94,2.002,1.93,1.93,1.984,2.178,2.047,2.04
Millions of Metric tons of CO2,CO2 emissions,0.289,0.253,0.261,0.219,0.2,0.163,0.136,0.136,0.13,0.136,0.147
Millions of Metric tons of CO2,CO2 emissions,0.102,0.09,0.094,0.082,0.068,0.058,0.054,0.057,0.065,0.068,0.07
Millions of Metric tons of CO2,CO2 emissions,1.601,1.51,1.486,1.412,1.43,1.339,1.313,1.452,1.327,1.377,1.276
Millions of Metric tons of CO2,CO2 emissions,0.127,0.075,0.077,0.062,0.05,0.063,0.058,0.074,0.045,0.053,0.058
Millions of Metric tons of CO2,CO2 emissions,0.064,0.082,0.091,0.082,0.072,0.06,0.061,0.057,0.09,0.079,0.088
Millions of Metric tons of CO2,CO2 emissions,0.02,0.017,0.022,0.017,0.01,0.01,0.012,0.01,0.009,0.009,0.01
Millions of Metric tons of CO2,CO2 emissions,1.59,1.232,1.202,1.419,1.422,1.319,1.347,1.325,1.482,1.596,1.535
Millions of Metric tons of CO2,CO2 emissions,0.035,0.034,0.034,0.026,0.028,0.025,0.021,0.023,0.025,0.025,0.026
Millions of Metric tons of CO2,CO2 emissions,0.021,0.022,0.02,0.012,0.005,0.005,0.006,0.007,0.005,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.131,0.118,0.13,0.123,0.107,0.103,0.1,0.098,0.067,0.073,0.076
Millions of Metric tons of CO2,CO2 emissions,0.18,0.191,0.223,0.245,0.245,0.236,0.234,0.229,0.219,0.211,0.218
Millions of Metric tons of CO2,CO2 emissions,0.065,0.051,0.053,0.061,0.029,0.032,0.038,0.038,0.046,0.045,0.044
Millions of Metric tons of CO2,CO2 emissions,0.142,0.132,0.125,0.108,0.107,0.1,0.094,0.101,0.116,0.118,0.122
Millions of Metric tons of CO2,CO2 emissions,0.159,0.19,0.185,0.181,0.176,0.171,0.167,0.159,0.178,0.2,0.203
Millions of Metric tons of CO2,CO2 emissions,0.032,0.029,0.027,0.024,0.023,0.022,0.02,0.021,0.022,0.023,0.023
Millions of Metric tons of CO2,CO2 emissions,0.139,0.138,0.149,0.121,0.141,0.129,0.114,0.125,0.131,0.135,0.138
Millions of Metric tons of CO2,CO2 emissions,0.055,0.04,0.043,0.037,0.029,0.024,0.021,0.019,0.021,0.021,0.022
Millions of Metric tons of CO2,CO2 emissions,0.039,0.033,0.031,0.025,0.025,0.019,0.017,0.018,0.021,0.021,0.02
Millions of Metric tons of CO2,CO2 emissions,0.035,0.031,0.033,0.029,0.02,0.018,0.016,0.016,0.015,0.017,0.018
Millions of Metric tons of CO2,CO2 emissions,0.081,0.065,0.07,0.066,0.08,0.085,0.086,0.085,0.094,0.088,0.089
Millions of Metric tons of CO2,CO2 emissions,0.051,0.05,0.052,0.047,0.055,0.06,0.061,0.061,0.071,0.066,0.07
Millions of Metric tons of CO2,CO2 emissions,55.457,38.95,36.618,38.402,35.273,34.369,32.282,32.341,25.554,31.241,30.162
Millions of Metric tons of CO2,CO2 emissions,0.57,0.509,0.508,0.506,0.473,0.434,0.437,0.441,0.485,0.497,0.52
Millions of Metric tons of CO2,CO2 emissions,0.062,0.049,0.057,0.041,0.024,0.019,0.023,0.022,0.022,0.022,0.024
Millions of Metric tons of CO2,CO2 emissions,0.011,0.009,0.008,0.01,0.011,0.011,0.012,0.012,0.013,0.012,0.013
Millions of Metric tons of CO2,CO2 emissions,0.039,0.04,0.036,0.033,0.037,0.033,0.034,0.033,0.032,0.035,0.033
Millions of Metric tons of CO2,CO2 emissions,0.298,0.298,0.311,0.376,0.381,0.359,0.426,0.442,0.425,0.423,0.422
Millions of Metric tons of CO2,CO2 emissions,0.037,0.02,0.022,0.024,0.026,0.12,0.112,0.108,0.023,0.034,0.038
Millions of Metric tons of CO2,CO2 emissions,0.013,0.011,0.011,0.012,0.013,0.014,0.015,0.015,0.016,0.016,0.015
Millions of Metric tons of CO2,CO2 emissions,0.007,0.009,0.009,0.004,0.008,0.006,0.006,0.005,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.138,0.024,0.03,0.023,0.032,0.083,0.015,0.034,0.029,0.024,0.019
Millions of Metric tons of CO2,CO2 emissions,0.047,0.047,0.052,0.061,0.061,0.055,0.058,0.211,0.237,0.094,0.136
Millions of Metric tons of CO2,CO2 emissions,0.006,0.007,0.011,0.011,0.014,0.012,0.009,0.008,0.007,0.005,0.004
Millions of Metric tons of CO2,CO2 emissions,0.232,0.196,0.191,0.244,0.256,0.242,0.241,0.228,0.265,0.26,0.282
Millions of Metric tons of CO2,CO2 emissions,0.025,0.025,0.021,0.023,0.024,0.023,0.024,0.025,0.025,0.023,0.025
Millions of Metric tons of CO2,CO2 emissions,0.007,0.007,0.005,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,13.368,11.115,14.947,13.714,12.505,14.795,13.598,11.245,11.612,12.4,10.937
Millions of Metric tons of CO2,CO2 emissions,0.023,0.018,0.016,0.014,0.015,0.013,0.011,0.011,0.01,0.01,0.01
Millions of Metric tons of CO2,CO2 emissions,0.016,0.013,0.014,0.016,0.016,0.016,0.017,0.018,0.018,0.017,0.017
Millions of Metric tons of CO2,CO2 emissions,0.014,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.01
Millions of Metric tons of CO2,CO2 emissions,0.126,0.115,0.125,0.103,0.094,0.108,0.101,0.101,0.111,0.083,0.083
Millions of Metric tons of CO2,CO2 emissions,0.017,0.016,0.016,0.017,0.018,0.018,0.019,0.021,0.021,0.02,0.021
Millions of Metric tons of CO2,CO2 emissions,0.009,0.009,0.008,0.009,0.011,0.012,0.014,0.015,0.016,0.019,0.02
Millions of Metric tons of CO2,CO2 emissions,0.787,0.668,0.781,0.764,0.748,0.726,0.659,0.706,0.669,0.75,0.697
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003
